Timestamp,Message
2025-04-29 01:19:24.248343,Edge WebDriver initialized successfully
2025-04-29 02:31:47.445957,Edge WebDriver initialized successfully
2025-04-29 02:33:32.817202,Edge WebDriver initialized successfully
2025-04-29 02:34:04.097834,Edge WebDriver initialized successfully
2025-04-29 02:34:04.104294,Driver initialized
2025-04-29 02:34:09.863057,Driver initialized
2025-04-29 02:34:09.902464,Function executed successfully for element body.
2025-04-29 02:34:09.907399,Browser opened.
2025-04-29 02:34:11.914968,Driver initialized
2025-04-29 02:34:15.246973,Function executed successfully for element iframe.
2025-04-29 02:34:15.280879,Driver initialized
2025-04-29 02:34:15.365662,Function executed successfully for element iFrameId_1745865248617.
2025-04-29 02:34:34.360081,Driver initialized
2025-04-29 02:34:34.435768,Function executed successfully for element content_frame.
2025-04-29 02:34:34.451123,Driver initialized
2025-04-29 02:34:54.856587,"Timeout occurred while waiting for //*[@acf=""Hndl""] to load."
2025-04-29 02:34:54.863017,Driver initialized
2025-04-29 02:34:54.960268,"Function executed successfully for element //*[@acf=""PNext""]."
2025-04-29 02:34:56.322929,Driver initialized
2025-04-29 02:34:56.393392,"Function executed successfully for element //*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""3""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]."
2025-04-29 02:35:00.094538,"Element '//*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""3""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]' clicked."
2025-04-29 02:35:05.256867,Driver initialized
2025-04-29 02:35:05.341774,Function executed successfully for element content_frame.
2025-04-29 02:35:19.859958,Driver initialized
2025-04-29 02:35:19.918445,"Function executed successfully for element //*[@class=""lsPageHeaderTitle--text-overflow""]."
2025-04-29 02:35:20.164860,Driver initialized
2025-04-29 02:35:20.201755,Function executed successfully for element iframe.
2025-04-29 02:35:20.226336,Driver initialized
2025-04-29 02:35:20.303245,Function executed successfully for element content_frame.
2025-04-29 02:35:20.322560,Driver initialized
2025-04-29 02:35:20.392508,"Function executed successfully for element //*[contains(text(), ""Approval required for access role request"")]/ancestor::tr[@rr=""2""]//span[contains(text(), ""Approval required for access role request"") and not(@id=""WD01AF"")]."
